date,start_time,end_time,temp_high,temp_low,weather,wind_speed,wind_dir,humidity,pressure
20220101,00:00,06:00,11,11,Passing clouds.,21,240,87,1023
20220101,06:00,12:00,12,10,Partly sunny.,14,250,83,1025
20220101,12:00,18:00,12,8,Partly sunny.,12,230,80,1025
20220101,18:00,00:00,9,5,Passing clouds.,10,200,90,1023
20220102,00:00,06:00,9,4,Clear.,16,200,93,1019
20220102,06:00,12:00,10,8,Sunny.,20,240,83,1017
20220102,12:00,18:00,11,9,Sunny.,23,220,73,1012
20220102,18:00,00:00,10,9,Passing clouds.,25,220,78,1012
20220103,00:00,06:00,11,7,Passing clouds.,36,250,84,1010
20220103,06:00,12:00,9,8,Passing clouds.,33,240,75,1012
20220103,12:00,18:00,9,7,Scattered clouds.,33,240,76,1009
20220103,18:00,00:00,7,6,Light rain. Overcast.,17,220,94,1006
20220104,00:00,06:00,7,6,Light rain. Mostly cloudy.,7,180,97,1001
20220104,06:00,12:00,6,6,Rain. More clouds than sun.,6,0,99,996
20220104,12:00,18:00,6,4,Light rain. Partly sunny.,17,250,92,995
20220104,18:00,00:00,5,5,Passing clouds.,17,230,90,997
20220105,00:00,06:00,5,0,Light rain. Passing clouds.,16,230,93,997
20220105,06:00,12:00,1,0,Scattered clouds.,20,240,91,1000
20220105,12:00,18:00,2,1,Scattered clouds.,38,240,83,1002
20220105,18:00,00:00,2,2,Passing clouds.,30,250,91,1006
20220106,00:00,06:00,2,1,Passing clouds.,22,270,90,1009
20220106,06:00,12:00,2,-2,Sunny.,14,270,85,1015
20220106,12:00,18:00,3,-1,Passing clouds.,14,260,78,1018
20220106,18:00,00:00,0,-2,Clear.,14,200,86,1019
20220107,00:00,06:00,0,-3,Clear.,16,190,86,1017
20220107,06:00,12:00,1,0,Passing clouds.,23,210,81,1014
20220107,12:00,18:00,2,1,Scattered clouds.,21,200,80,1012
20220107,18:00,00:00,2,1,Passing clouds.,20,210,83,1011
20220108,00:00,06:00,2,0,Passing clouds.,15,220,89,1009
20220108,06:00,12:00,1,0,Light snow. Ice fog.,11,250,98,1010
20220108,12:00,18:00,2,0,Partly sunny.,19,220,78,1009
20220108,18:00,00:00,1,0,Passing clouds.,22,180,77,1001
20220109,00:00,06:00,2,1,Passing clouds.,29,180,83,993
20220109,06:00,12:00,2,1,Light rain. Broken clouds.,25,240,90,994
20220109,12:00,18:00,3,2,Light rain. Broken clouds.,29,240,90,999
20220109,18:00,00:00,2,1,Passing clouds.,15,250,90,1005
20220110,00:00,06:00,1,1,Passing clouds.,14,260,93,1010
20220110,06:00,12:00,3,1,Partly sunny.,11,280,95,1017
20220110,12:00,18:00,4,3,Partly sunny.,10,310,88,1022
20220110,18:00,00:00,3,2,Passing clouds.,8,350,93,1027
20220111,00:00,06:00,2,2,Fog.,3,350,100,1030
20220111,06:00,12:00,2,2,Fog.,4,0,99,1033
20220111,12:00,18:00,3,2,More clouds than sun.,5,20,91,1033
20220111,18:00,00:00,2,2,Overcast.,4,0,90,1035
20220112,00:00,06:00,1,-1,Clear.,11,230,89,1035
20220112,06:00,12:00,2,-1,Clear.,14,230,89,1036
20220112,12:00,18:00,3,2,Partly sunny.,16,270,84,1037
20220112,18:00,00:00,2,-1,Passing clouds.,12,250,93,1038
20220113,00:00,06:00,0,-1,Clear.,18,250,93,1038
20220113,06:00,12:00,3,-1,Sunny.,19,230,90,1038
20220113,12:00,18:00,4,1,Sunny.,25,260,86,1037
20220113,18:00,00:00,1,-1,Clear.,22,240,93,1036
20220114,00:00,06:00,-1,-2,Clear.,19,250,95,1034
20220114,06:00,12:00,2,-1,Sunny.,18,240,90,1032
20220114,12:00,18:00,1,1,Partly sunny.,20,260,96,1032
20220114,18:00,00:00,2,1,Fog.,17,260,100,1032
20220115,00:00,06:00,2,2,Passing clouds.,11,240,96,1031
20220115,06:00,12:00,4,1,Partly sunny.,8,280,91,1029
20220115,12:00,18:00,4,1,Partly sunny.,6,0,80,1027
20220115,18:00,00:00,1,-3,Clear.,12,250,93,1025
20220116,00:00,06:00,-2,-4,Clear.,11,220,96,1022
20220116,06:00,12:00,0,-3,Partly sunny.,17,230,95,1021
20220116,12:00,18:00,2,0,Overcast.,24,250,90,1022
20220116,18:00,00:00,3,2,Passing clouds.,25,250,85,1024
20220117,00:00,06:00,3,3,Passing clouds.,29,250,90,1025
20220117,06:00,12:00,5,3,Partly sunny.,32,270,80,1025
20220117,12:00,18:00,5,4,Partly sunny.,34,280,91,1026
20220117,18:00,00:00,4,1,Passing clouds.,16,280,90,1031
20220118,00:00,06:00,3,2,Overcast.,10,270,90,1034
20220118,06:00,12:00,5,2,Partly sunny.,13,270,95,1036
20220118,12:00,18:00,5,4,Partly sunny.,8,260,86,1036
20220118,18:00,00:00,4,3,Passing clouds.,8,230,90,1035
20220119,00:00,06:00,3,1,Low clouds.,9,200,89,1031
20220119,06:00,12:00,4,-1,Passing clouds.,10,210,91,1026
20220119,12:00,18:00,4,2,Passing clouds.,25,230,74,1020
20220119,18:00,00:00,2,1,Light rain. Passing clouds.,30,250,88,1018
20220120,00:00,06:00,3,0,Passing clouds.,26,260,90,1018
20220120,06:00,12:00,2,0,Scattered clouds.,30,310,83,1019
20220120,12:00,18:00,2,-1,Snow flurries. Passing clouds.,29,290,79,1020
20220120,18:00,00:00,-1,-1,Passing clouds.,30,320,81,1023
20220121,00:00,06:00,-2,-5,Clear.,21,310,81,1027
20220121,06:00,12:00,0,-4,Light snow. Broken clouds.,25,270,87,1027
20220121,12:00,18:00,1,0,Partly sunny.,21,290,86,1027
20220121,18:00,00:00,2,1,Passing clouds.,26,270,95,1026
20220122,00:00,06:00,4,2,Passing clouds.,30,280,94,1025
