date,start_time,end_time,temp_high,temp_low,weather,wind_speed,wind_dir,humidity,pressure
20210101,00:00,06:00,2,0,Light snow. Passing clouds.,8,190,92,1003
20210101,06:00,12:00,2,1,Broken clouds.,7,210,94,1005
20210101,12:00,18:00,2,1,Drizzle. Partly sunny.,8,290,94,1007
20210101,18:00,00:00,1,0,Passing clouds.,7,280,92,1010
20210102,00:00,06:00,0,-1,Passing clouds.,10,200,94,1011
20210102,06:00,12:00,1,-1,Partly sunny.,10,210,89,1013
20210102,12:00,18:00,2,0,Partly sunny.,4,350,86,1013
20210102,18:00,00:00,1,0,Overcast.,10,40,88,1013
20210103,00:00,06:00,0,0,Light snow. Ice fog.,15,30,94,1011
20210103,06:00,12:00,0,-1,Light snow. Ice fog.,15,20,99,1010
20210103,12:00,18:00,-1,-1,Light snow. Ice fog.,9,30,100,1011
20210103,18:00,00:00,-1,-1,Light snow. Ice fog.,7,20,100,1013
20210104,00:00,06:00,-1,-1,Light snow. Ice fog.,9,30,100,1013
20210104,06:00,12:00,-1,-1,Light snow. Ice fog.,8,30,100,1014
20210104,12:00,18:00,-1,-1,Ice fog.,10,50,100,1014
20210104,18:00,00:00,-1,-1,Light snow. Ice fog.,12,40,100,1014
20210105,00:00,06:00,-1,-1,Light freezing rain. Ice fog.,13,40,100,1014
20210105,06:00,12:00,-1,-1,Light snow. Ice fog.,12,40,100,1014
20210105,12:00,18:00,0,-1,Light snow. Ice fog.,11,30,95,1014
20210105,18:00,00:00,0,-1,Snow flurries. Ice fog.,10,30,100,1014
20210106,00:00,06:00,0,0,Light snow. Passing clouds.,6,0,100,1012
20210106,06:00,12:00,0,0,Partly sunny.,6,350,100,1011
20210106,12:00,18:00,0,0,More clouds than sun.,11,280,95,1010
20210106,18:00,00:00,0,0,Passing clouds.,14,270,91,1011
20210107,00:00,06:00,-1,-1,Passing clouds.,16,260,89,1011
20210107,06:00,12:00,0,-1,Partly sunny.,15,240,84,1011
20210107,12:00,18:00,0,-1,Broken clouds.,14,220,82,1010
20210107,18:00,00:00,0,-1,Light snow. Passing clouds.,14,200,87,1010
20210108,00:00,06:00,0,-1,Light snow. Partly cloudy.,10,210,92,1009
20210108,06:00,12:00,0,0,Light snow. Partly sunny.,14,250,88,1010
20210108,12:00,18:00,0,0,Light snow. Passing clouds.,16,280,92,1012
20210108,18:00,00:00,0,-2,Light snow. Passing clouds.,12,260,92,1015
20210109,00:00,06:00,-1,-2,Passing clouds.,13,260,90,1017
20210109,06:00,12:00,-1,-2,Light snow. Broken clouds.,16,280,88,1019
20210109,12:00,18:00,-1,-1,Partly sunny.,18,260,86,1021
20210109,18:00,00:00,-1,-2,Light snow. Passing clouds.,11,270,91,1022
20210110,00:00,06:00,-2,-3,Passing clouds.,10,250,94,1023
20210110,06:00,12:00,-1,-3,Passing clouds.,11,200,91,1023
20210110,12:00,18:00,-1,-3,Passing clouds.,10,210,87,1022
20210110,18:00,00:00,-4,-8,Clear.,14,210,91,1022
20210111,00:00,06:00,-5,-7,Passing clouds.,17,210,82,1021
20210111,06:00,12:00,-1,-6,Sunny.,19,210,77,1020
20210111,12:00,18:00,0,-1,Sunny.,30,220,68,1017
20210111,18:00,00:00,0,-1,Passing clouds.,30,210,77,1014
20210112,00:00,06:00,1,0,Light snow. Passing clouds.,32,210,83,1008
20210112,06:00,12:00,2,1,Light snow. Overcast.,32,220,85,1004
20210112,12:00,18:00,2,1,Partly sunny.,26,280,88,1003
20210112,18:00,00:00,1,0,Passing clouds.,22,270,86,1009
20210113,00:00,06:00,0,-1,Passing clouds.,23,250,87,1012
20210113,06:00,12:00,1,-1,Passing clouds.,32,250,81,1012
20210113,12:00,18:00,2,1,Snow flurries. Partly cloudy.,35,240,76,1010
20210113,18:00,00:00,1,-1,Snow flurries. Passing clouds.,37,250,79,1007
20210114,00:00,06:00,0,-2,Passing clouds.,36,300,76,1009
20210114,06:00,12:00,0,-1,Partly sunny.,28,300,85,1015
20210114,12:00,18:00,1,0,Broken clouds.,10,0,86,1018
20210114,18:00,00:00,0,-2,Passing clouds.,6,350,87,1019
20210115,00:00,06:00,-2,-3,Passing clouds.,8,280,86,1020
20210115,06:00,12:00,0,-3,Light snow. Partly sunny.,10,10,87,1022
20210115,12:00,18:00,0,-2,Light snow. Partly cloudy.,13,330,84,1023
20210115,18:00,00:00,-3,-3,Light snow. Passing clouds.,9,330,92,1025
20210116,00:00,06:00,-3,-5,Light snow. Overcast.,11,330,82,1026
20210116,06:00,12:00,-4,-5,Light snow. Overcast.,13,260,78,1025
20210116,12:00,18:00,-2,-3,Overcast.,19,260,76,1022
