time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
201607130920,16°C,Wind blowing from 240° West-southwest to East-northeast,9 km/h,Passing clouds.,1013 mbar,83%
201607130950,17°C,Wind blowing from 280° West to East,17 km/h,Scattered clouds.,1013 mbar,77%
201607131020,17°C,Wind blowing from 280° West to East,19 km/h,Scattered clouds.,1013 mbar,77%
201607131050,17°C,Wind blowing from 280° West to East,17 km/h,Scattered clouds.,1013 mbar,77%
201607131120,17°C,Wind blowing from 280° West to East,17 km/h,Scattered clouds.,1013 mbar,77%
201607131150,18°C,Wind blowing from 290° West-northwest to East-southeast,11 km/h,Passing clouds.,1013 mbar,73%
201607131220,19°C,Wind blowing from 300° West-northwest to East-southeast,9 km/h,Scattered clouds.,1013 mbar,64%
201607131250,20°C,Wind blowing from 290° West-northwest to East-southeast,13 km/h,Passing clouds.,1013 mbar,56%
201607131320,20°C,Wind blowing from 310° Northwest to Southeast,13 km/h,Scattered clouds.,1012 mbar,56%
201607131350,17°C,Wind blowing from 280° West to East,28 km/h,Sprinkles. Broken clouds.,1013 mbar,73%
201607131420,19°C,Wind blowing from 300° West-northwest to East-southeast,17 km/h,Thundershowers. Broken clouds.,1012 mbar,78%
201607131450,19°C,Wind blowing from 300° West-northwest to East-southeast,11 km/h,Partly sunny.,1012 mbar,60%
201607131520,21°C,Wind blowing from 280° West to East,11 km/h,Scattered clouds.,1012 mbar,50%
201607131550,21°C,Wind blowing from 280° West to East,15 km/h,Scattered clouds.,1012 mbar,53%
201607131620,21°C,Wind blowing from 270° West to East,20 km/h,Partly sunny.,1012 mbar,50%
201607131650,20°C,Wind blowing from 270° West to East,20 km/h,Partly sunny.,1012 mbar,56%
201607131850,20°C,Wind blowing from 310° Northwest to Southeast,19 km/h,Partly sunny.,1012 mbar,53%
201607131950,18°C,Wind blowing from 300° West-northwest to East-southeast,13 km/h,Broken clouds.,1013 mbar,60%
201607132050,17°C,Wind blowing from 290° West-northwest to East-southeast,15 km/h,Sunny.,1013 mbar,64%
201607132120,16°C,Wind blowing from 310° Northwest to Southeast,11 km/h,Sunny.,1013 mbar,68%
201607132150,16°C,Wind blowing from 310° Northwest to Southeast,13 km/h,Sunny.,1014 mbar,68%
201607132220,16°C,Wind blowing from 310° Northwest to Southeast,9 km/h,Sunny.,1014 mbar,72%
