time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
201901010020,6°C,Wind blowing from 250° West-southwest to East-northeast,15 km/h,Overcast.,1029 mbar,100%
201901010050,7°C,Wind blowing from 240° West-southwest to East-northeast,15 km/h,Overcast.,1029 mbar,87%
201901010120,6°C,Wind blowing from 240° West-southwest to East-northeast,11 km/h,Overcast.,1029 mbar,93%
201901010150,7°C,Wind blowing from 220° Southwest to Northeast,15 km/h,Overcast.,1028 mbar,87%
201901010220,7°C,Wind blowing from 220° Southwest to Northeast,17 km/h,Overcast.,1028 mbar,81%
201901010250,6°C,Wind blowing from 240° West-southwest to East-northeast,17 km/h,Passing clouds.,1027 mbar,87%
201901010320,6°C,Wind blowing from 240° West-southwest to East-northeast,15 km/h,Passing clouds.,1027 mbar,87%
201901010350,6°C,Wind blowing from 250° West-southwest to East-northeast,19 km/h,Passing clouds.,1026 mbar,87%
201901010420,7°C,Wind blowing from 250° West-southwest to East-northeast,26 km/h,Partly cloudy.,1026 mbar,81%
201901010450,7°C,Wind blowing from 260° West to East,30 km/h,Passing clouds.,1025 mbar,81%
201901010520,7°C,Wind blowing from 250° West-southwest to East-northeast,26 km/h,Partly cloudy.,1025 mbar,87%
201901010550,6°C,Wind blowing from 260° West to East,24 km/h,Partly cloudy.,1025 mbar,93%
201901010620,7°C,Wind blowing from 260° West to East,22 km/h,Passing clouds.,1025 mbar,87%
201901010650,6°C,Wind blowing from 250° West-southwest to East-northeast,28 km/h,Passing clouds.,1024 mbar,93%
201901010720,6°C,Wind blowing from 260° West to East,24 km/h,Partly cloudy.,1024 mbar,87%
201901010750,6°C,Wind blowing from 250° West-southwest to East-northeast,28 km/h,Passing clouds.,1024 mbar,87%
201901010820,6°C,Wind blowing from 260° West to East,35 km/h,Drizzle. Partly sunny.,1023 mbar,87%
201901010850,6°C,Wind blowing from 260° West to East,32 km/h,Drizzle. Broken clouds.,1023 mbar,87%
201901010920,6°C,Wind blowing from 250° West-southwest to East-northeast,35 km/h,Partly sunny.,1022 mbar,87%
201901010950,6°C,Wind blowing from 250° West-southwest to East-northeast,39 km/h,Broken clouds.,1022 mbar,87%
201901011020,6°C,Wind blowing from 250° West-southwest to East-northeast,32 km/h,Drizzle. Partly sunny.,1022 mbar,87%
201901011050,6°C,Wind blowing from 250° West-southwest to East-northeast,35 km/h,Drizzle. Partly sunny.,1022 mbar,87%
201901011120,6°C,Wind blowing from 250° West-southwest to East-northeast,32 km/h,Drizzle. Partly sunny.,1022 mbar,93%
201901011150,6°C,Wind blowing from 250° West-southwest to East-northeast,28 km/h,Drizzle. Partly sunny.,1022 mbar,93%
201901011220,6°C,Wind blowing from 250° West-southwest to East-northeast,30 km/h,Drizzle. Partly sunny.,1021 mbar,93%
201901011250,6°C,Wind blowing from 240° West-southwest to East-northeast,32 km/h,Drizzle. Partly sunny.,1021 mbar,93%
201901011320,6°C,Wind blowing from 240° West-southwest to East-northeast,30 km/h,Drizzle. Partly sunny.,1020 mbar,93%
201901011350,6°C,Wind blowing from 250° West-southwest to East-northeast,28 km/h,Drizzle. Partly sunny.,1020 mbar,93%
201901011420,6°C,Wind blowing from 250° West-southwest to East-northeast,30 km/h,Light rain. Broken clouds.,1020 mbar,93%
201901011450,6°C,Wind blowing from 260° West to East,33 km/h,Broken clouds.,1020 mbar,93%
201901011520,6°C,Wind blowing from 260° West to East,24 km/h,Light rain. Broken clouds.,1020 mbar,93%
201901011550,6°C,Wind blowing from 270° West to East,30 km/h,Light rain. Broken clouds.,1020 mbar,93%
201901011620,6°C,Wind blowing from 310° Northwest to Southeast,41 km/h,Light rain. Partly cloudy.,1020 mbar,87%
201901011650,5°C,Wind blowing from 300° West-northwest to East-southeast,37 km/h,Passing clouds.,1020 mbar,81%
