date,start_time,end_time,temp_high,temp_low,weather,wind_speed,wind_dir,humidity,pressure
20200101,00:00,06:00,1,-3,Clear.,13,210,89,1034
20200101,06:00,12:00,1,-4,Sunny.,13,200,88,1034
20200101,12:00,18:00,4,0,Sunny.,5,0,82,1032
20200101,18:00,00:00,0,-5,Clear.,12,210,93,1031
20200102,00:00,06:00,0,-5,Clear.,10,200,86,1029
20200102,06:00,12:00,3,-6,Sunny.,13,210,79,1027
20200102,12:00,18:00,4,0,Sunny.,12,270,78,1025
20200102,18:00,00:00,3,2,Passing clouds.,20,200,86,1025
20200103,00:00,06:00,3,2,Passing clouds.,14,200,88,1022
20200103,06:00,12:00,6,3,Partly sunny.,19,200,82,1019
20200103,12:00,18:00,6,6,Partly sunny.,28,220,81,1017
20200103,18:00,00:00,8,5,Passing clouds.,33,230,87,1018
20200104,00:00,06:00,5,1,Passing clouds.,20,260,88,1024
20200104,06:00,12:00,4,2,Passing clouds.,24,250,84,1024
20200104,12:00,18:00,5,4,Drizzle. Partly sunny.,35,250,84,1022
20200104,18:00,00:00,4,0,Passing clouds.,17,290,90,1028
20200105,00:00,06:00,1,0,Passing clouds.,15,270,89,1032
20200105,06:00,12:00,2,-1,Partly sunny.,12,210,88,1034
20200105,12:00,18:00,4,2,Partly sunny.,13,230,85,1034
20200105,18:00,00:00,3,2,Passing clouds.,11,180,88,1033
20200106,00:00,06:00,3,3,Overcast.,10,190,88,1031
20200106,06:00,12:00,4,3,Overcast.,8,270,86,1029
20200106,12:00,18:00,5,1,Passing clouds.,11,200,77,1025
20200106,18:00,00:00,2,-1,Clear.,15,210,86,1022
20200107,00:00,06:00,1,0,Clear.,17,240,83,1021
20200107,06:00,12:00,3,1,Light rain. Broken clouds.,19,230,92,1024
20200107,12:00,18:00,4,3,Overcast.,16,240,88,1028
20200107,18:00,00:00,4,1,Clear.,16,210,88,1027
20200108,00:00,06:00,5,3,Clear.,22,200,80,1025
20200108,06:00,12:00,6,4,Light rain. Partly sunny.,21,210,81,1024
20200108,12:00,18:00,7,6,Partly sunny.,28,230,84,1024
20200108,18:00,00:00,7,6,Passing clouds.,21,220,89,1024
20200109,00:00,06:00,6,6,Light rain. Passing clouds.,17,200,93,1022
20200109,06:00,12:00,9,6,Scattered clouds.,20,210,92,1018
20200109,12:00,18:00,10,9,Passing clouds.,26,210,87,1015
20200109,18:00,00:00,10,9,Light rain. Passing clouds.,21,210,88,1013
20200110,00:00,06:00,10,9,Light rain. Passing clouds.,24,230,82,1012
20200110,06:00,12:00,9,8,Passing clouds.,23,220,79,1015
20200110,12:00,18:00,9,6,Partly sunny.,23,230,80,1017
20200110,18:00,00:00,6,4,Partly cloudy.,20,280,85,1023
20200111,00:00,06:00,4,3,Passing clouds.,14,260,80,1029
20200111,06:00,12:00,5,2,Scattered clouds.,11,250,79,1032
20200111,12:00,18:00,5,1,Passing clouds.,16,230,71,1031
20200111,18:00,00:00,2,0,Clear.,13,220,79,1028
20200112,00:00,06:00,2,0,Clear.,14,220,81,1025
20200112,06:00,12:00,3,0,Sunny.,21,200,79,1023
20200112,12:00,18:00,3,2,Passing clouds.,23,220,75,1021
20200112,18:00,00:00,4,3,Passing clouds.,24,200,83,1022
20200113,00:00,06:00,4,4,Passing clouds.,24,210,87,1022
20200113,06:00,12:00,5,3,Partly sunny.,18,210,86,1022
20200113,12:00,18:00,6,4,Passing clouds.,20,200,82,1018
20200113,18:00,00:00,4,3,Passing clouds.,17,190,88,1016
20200114,00:00,06:00,6,5,Passing clouds.,23,180,80,1012
20200114,06:00,12:00,8,6,Sunny.,30,190,69,1011
20200114,12:00,18:00,9,8,Sunny.,31,200,63,1012
20200114,18:00,00:00,9,9,Clear.,33,210,62,1012
20200115,00:00,06:00,10,9,Clear.,30,200,61,1014
20200115,06:00,12:00,10,8,Sunny.,24,200,62,1015
20200115,12:00,18:00,12,8,Sunny.,20,200,58,1016
20200115,18:00,00:00,10,8,Clear.,22,210,66,1019
20200116,00:00,06:00,10,6,Passing clouds.,14,230,80,1024
20200116,06:00,12:00,11,6,Passing clouds.,10,180,86,1028
20200116,12:00,18:00,11,8,Sunny.,13,200,68,1027
20200116,18:00,00:00,7,6,Clear.,17,180,80,1026
20200117,00:00,06:00,7,3,Clear.,14,180,81,1022
20200117,06:00,12:00,8,2,Sunny.,13,180,84,1019
20200117,12:00,18:00,9,6,Sunny.,21,220,72,1016
20200117,18:00,00:00,7,5,Passing clouds.,22,220,82,1017
20200118,00:00,06:00,5,2,Clear.,17,230,82,1020
20200118,06:00,12:00,5,2,Passing clouds.,15,220,80,1023
20200118,12:00,18:00,5,4,Passing clouds.,17,230,72,1023
20200118,18:00,00:00,3,1,Passing clouds.,15,250,88,1025
20200119,00:00,06:00,1,0,Passing clouds.,15,270,92,1028
20200119,06:00,12:00,3,0,Partly sunny.,13,280,90,1032
20200119,12:00,18:00,4,2,Partly sunny.,17,310,80,1036
20200119,18:00,00:00,3,2,Passing clouds.,15,320,86,1040
20200120,00:00,06:00,3,1,Passing clouds.,11,310,84,1043
20200120,06:00,12:00,3,-1,Passing clouds.,9,260,90,1045
20200120,12:00,18:00,4,2,Passing clouds.,6,230,70,1046
20200120,18:00,00:00,1,-3,Clear.,10,210,87,1045
20200121,00:00,06:00,-2,-6,Clear.,14,210,92,1043
20200121,06:00,12:00,1,-7,Sunny.,15,210,90,1041
20200121,12:00,18:00,4,-1,Sunny.,14,260,73,1039
20200121,18:00,00:00,-1,-5,Clear.,17,220,87,1037
20200122,00:00,06:00,-4,-6,Clear.,17,220,90,1035
20200122,06:00,12:00,0,-6,Clear.,19,210,87,1033
20200122,12:00,18:00,1,0,Low clouds.,20,260,95,1033
