time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
201501010020,2°C,Wind blowing from 270° West to East,15 km/h,Fog.,1034 mbar,100%
201501010050,2°C,Wind blowing from 250° West-southwest to East-northeast,11 km/h,Fog.,1034 mbar,100%
201501010120,2°C,Wind blowing from 260° West to East,15 km/h,Fog.,1034 mbar,100%
201501010150,2°C,Wind blowing from 260° West to East,13 km/h,Fog.,1034 mbar,100%
201501010220,2°C,Wind blowing from 260° West to East,11 km/h,Fog.,1034 mbar,100%
201501010250,2°C,Wind blowing from 240° West-southwest to East-northeast,11 km/h,Fog.,1034 mbar,100%
201501010320,2°C,Wind blowing from 230° Southwest to Northeast,9 km/h,Fog.,1034 mbar,100%
201501010350,2°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Fog.,1034 mbar,100%
201501010420,2°C,Wind blowing from 240° West-southwest to East-northeast,9 km/h,Passing clouds.,1034 mbar,100%
201501010450,2°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Passing clouds.,1034 mbar,100%
201501010520,1°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Partly cloudy.,1034 mbar,100%
201501010550,1°C,Wind blowing from 220° Southwest to Northeast,11 km/h,Passing clouds.,1034 mbar,100%
201501010620,1°C,Wind blowing from 210° South-southwest to North-northeast,13 km/h,Passing clouds.,1034 mbar,100%
201501010650,1°C,Wind blowing from 250° West-southwest to East-northeast,15 km/h,Passing clouds.,1034 mbar,100%
201501010720,1°C,Wind blowing from 240° West-southwest to East-northeast,11 km/h,Passing clouds.,1034 mbar,100%
201501010750,1°C,Wind blowing from 260° West to East,17 km/h,Passing clouds.,1035 mbar,100%
201501010820,1°C,Wind blowing from 260° West to East,15 km/h,Fog.,1035 mbar,100%
201501010850,1°C,Wind blowing from 250° West-southwest to East-northeast,13 km/h,Fog.,1035 mbar,100%
201501010920,1°C,Wind blowing from 250° West-southwest to East-northeast,13 km/h,Fog.,1035 mbar,100%
201501010950,0°C,Wind blowing from 200° South-southwest to North-northeast,15 km/h,Chilly.,1035 mbar,100%
201501011020,1°C,Wind blowing from 200° South-southwest to North-northeast,15 km/h,Chilly.,1034 mbar,100%
201501011050,3°C,Wind blowing from 210° South-southwest to North-northeast,13 km/h,Sunny.,1034 mbar,100%
201501011120,4°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Sunny.,1034 mbar,93%
201501011150,5°C,Wind blowing from 230° Southwest to Northeast,15 km/h,Sunny.,1033 mbar,87%
201501011220,4°C,Wind blowing from 290° West-northwest to East-southeast,15 km/h,Sunny.,1034 mbar,87%
201501011250,4°C,Wind blowing from 270° West to East,11 km/h,Scattered clouds.,1033 mbar,93%
201501011320,4°C,Wind blowing from 270° West to East,13 km/h,Partly sunny.,1033 mbar,87%
201501011350,3°C,Wind blowing from 270° West to East,13 km/h,Partly sunny.,1033 mbar,93%
201501011420,3°C,Wind blowing from 250° West-southwest to East-northeast,13 km/h,Partly sunny.,1033 mbar,93%
201501011450,4°C,Wind blowing from 240° West-southwest to East-northeast,13 km/h,Partly sunny.,1033 mbar,87%
201501011520,3°C,Wind blowing from 220° Southwest to Northeast,19 km/h,Scattered clouds.,1032 mbar,87%
201501011550,3°C,Wind blowing from 230° Southwest to Northeast,22 km/h,Scattered clouds.,1032 mbar,87%
201501011620,2°C,Wind blowing from 220° Southwest to Northeast,19 km/h,Clear.,1032 mbar,93%
201501011720,2°C,Wind blowing from 220° Southwest to Northeast,26 km/h,Passing clouds.,1032 mbar,93%
201501011750,2°C,Wind blowing from 230° Southwest to Northeast,26 km/h,Clear.,1032 mbar,93%
