time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
201801010020,11°C,Wind blowing from 200° South-southwest to North-northeast,39 km/h,Passing clouds.,1000 mbar,67%
201801010050,11°C,Wind blowing from 200° South-southwest to North-northeast,32 km/h,Passing clouds.,999 mbar,67%
201801010120,10°C,Wind blowing from 200° South-southwest to North-northeast,32 km/h,Passing clouds.,999 mbar,71%
201801010150,10°C,Wind blowing from 210° South-southwest to North-northeast,28 km/h,Partly cloudy.,1000 mbar,71%
201801010220,9°C,Wind blowing from 220° Southwest to Northeast,26 km/h,Passing clouds.,1000 mbar,76%
201801010250,9°C,Wind blowing from 220° Southwest to Northeast,26 km/h,Passing clouds.,1000 mbar,76%
201801010320,9°C,Wind blowing from 220° Southwest to Northeast,20 km/h,Partly cloudy.,1000 mbar,76%
201801010350,9°C,Wind blowing from 230° Southwest to Northeast,30 km/h,Passing clouds.,1000 mbar,76%
201801010420,9°C,Wind blowing from 230° Southwest to Northeast,28 km/h,Passing clouds.,1000 mbar,71%
201801010450,9°C,Wind blowing from 230° Southwest to Northeast,35 km/h,Passing clouds.,1001 mbar,71%
201801010520,9°C,Wind blowing from 240° West-southwest to East-northeast,35 km/h,Partly cloudy.,1000 mbar,66%
201801010550,8°C,Wind blowing from 240° West-southwest to East-northeast,41 km/h,Passing clouds.,1001 mbar,66%
201801010620,8°C,Wind blowing from 230° Southwest to Northeast,44 km/h,Passing clouds.,1001 mbar,66%
201801010650,8°C,Wind blowing from 240° West-southwest to East-northeast,41 km/h,Passing clouds.,1001 mbar,66%
201801010720,7°C,Wind blowing from 240° West-southwest to East-northeast,35 km/h,Partly cloudy.,1002 mbar,71%
201801010750,7°C,Wind blowing from 240° West-southwest to East-northeast,32 km/h,Partly cloudy.,1003 mbar,66%
201801010820,6°C,Wind blowing from 230° Southwest to Northeast,32 km/h,Broken clouds.,1003 mbar,76%
201801010850,6°C,Wind blowing from 230° Southwest to Northeast,26 km/h,Partly sunny.,1004 mbar,76%
201801010920,6°C,Wind blowing from 230° Southwest to Northeast,28 km/h,Broken clouds.,1004 mbar,76%
201801010950,7°C,Wind blowing from 230° Southwest to Northeast,41 km/h,Partly sunny.,1004 mbar,66%
201801011020,7°C,Wind blowing from 230° Southwest to Northeast,35 km/h,Scattered clouds.,1004 mbar,66%
201801011050,7°C,Wind blowing from 240° West-southwest to East-northeast,35 km/h,Scattered clouds.,1004 mbar,66%
201801011120,7°C,Wind blowing from 240° West-southwest to East-northeast,35 km/h,Scattered clouds.,1004 mbar,66%
201801011150,7°C,Wind blowing from 250° West-southwest to East-northeast,39 km/h,Passing clouds.,1004 mbar,61%
201801011220,8°C,Wind blowing from 240° West-southwest to East-northeast,37 km/h,Scattered clouds.,1004 mbar,62%
201801011250,7°C,Wind blowing from 240° West-southwest to East-northeast,39 km/h,Partly sunny.,1004 mbar,66%
201801011320,7°C,Wind blowing from 230° Southwest to Northeast,33 km/h,Scattered clouds.,1003 mbar,71%
201801011350,7°C,Wind blowing from 220° Southwest to Northeast,28 km/h,Scattered clouds.,1003 mbar,66%
