time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
202301010020,15°C,Wind blowing from 200° South-southwest to North-northeast,30 km/h,Clear.,1014 mbar,55%
202301010150,14°C,Wind blowing from 200° South-southwest to North-northeast,20 km/h,Clear.,1015 mbar,59%
202301010220,14°C,Wind blowing from 200° South-southwest to North-northeast,20 km/h,Clear.,1015 mbar,55%
202301010250,13°C,Wind blowing from 200° South-southwest to North-northeast,15 km/h,Clear.,1015 mbar,63%
202301010320,13°C,Wind blowing from 190° South to North,13 km/h,Clear.,1015 mbar,63%
202301010350,14°C,Wind blowing from 190° South to North,20 km/h,Clear.,1014 mbar,55%
202301010420,13°C,Wind blowing from 190° South to North,20 km/h,Clear.,1014 mbar,59%
202301010450,13°C,Wind blowing from 210° South-southwest to North-northeast,26 km/h,Clear.,1015 mbar,63%
202301010520,13°C,Wind blowing from 210° South-southwest to North-northeast,26 km/h,Clear.,1015 mbar,63%
202301010550,13°C,Wind blowing from 210° South-southwest to North-northeast,26 km/h,Clear.,1015 mbar,63%
202301010620,13°C,Wind blowing from 210° South-southwest to North-northeast,22 km/h,Clear.,1016 mbar,63%
202301010650,13°C,Wind blowing from 210° South-southwest to North-northeast,28 km/h,Clear.,1016 mbar,63%
202301010720,12°C,Wind blowing from 220° Southwest to Northeast,30 km/h,Clear.,1016 mbar,67%
202301010750,12°C,Wind blowing from 210° South-southwest to North-northeast,30 km/h,Clear.,1016 mbar,67%
202301010820,12°C,Wind blowing from 210° South-southwest to North-northeast,28 km/h,Sunny.,1016 mbar,67%
202301010920,12°C,Wind blowing from 210° South-southwest to North-northeast,24 km/h,Sunny.,1017 mbar,67%
202301010950,13°C,Wind blowing from 210° South-southwest to North-northeast,24 km/h,Sunny.,1018 mbar,67%
202301011020,13°C,Wind blowing from 210° South-southwest to North-northeast,24 km/h,Sunny.,1017 mbar,67%
202301011050,14°C,Wind blowing from 210° South-southwest to North-northeast,28 km/h,Sunny.,1018 mbar,63%
202301011120,14°C,Wind blowing from 220° Southwest to Northeast,32 km/h,Sunny.,1018 mbar,63%
202301011150,14°C,Wind blowing from 210° South-southwest to North-northeast,20 km/h,Sunny.,1018 mbar,63%
202301011220,14°C,Wind blowing from 210° South-southwest to North-northeast,19 km/h,Sunny.,1018 mbar,67%
202301011250,14°C,Wind blowing from 210° South-southwest to North-northeast,20 km/h,Scattered clouds.,1018 mbar,67%
202301011320,14°C,Wind blowing from 210° South-southwest to North-northeast,26 km/h,Passing clouds.,1018 mbar,67%
202301011350,14°C,Wind blowing from 210° South-southwest to North-northeast,24 km/h,Passing clouds.,1018 mbar,67%
202301011420,14°C,Wind blowing from 220° Southwest to Northeast,22 km/h,Passing clouds.,1018 mbar,67%
202301011520,13°C,Wind blowing from 210° South-southwest to North-northeast,20 km/h,Overcast.,1018 mbar,72%
202301011550,13°C,Wind blowing from 220° Southwest to Northeast,20 km/h,Partly sunny.,1018 mbar,72%
202301011620,13°C,Wind blowing from 210° South-southwest to North-northeast,20 km/h,Passing clouds.,1018 mbar,72%
202301011650,12°C,Wind blowing from 200° South-southwest to North-northeast,17 km/h,Clear.,1019 mbar,72%
202301011720,12°C,Wind blowing from 190° South to North,15 km/h,Clear.,1019 mbar,72%
202301011750,13°C,Wind blowing from 200° South-southwest to North-northeast,15 km/h,Clear.,1018 mbar,67%
202301011820,13°C,Wind blowing from 210° South-southwest to North-northeast,20 km/h,Clear.,1019 mbar,67%
202301011850,13°C,Wind blowing from 210° South-southwest to North-northeast,19 km/h,Clear.,1019 mbar,67%
202301011920,13°C,Wind blowing from 200° South-southwest to North-northeast,19 km/h,Clear.,1018 mbar,67%
202301011950,13°C,Wind blowing from 200° South-southwest to North-northeast,19 km/h,Clear.,1018 mbar,67%
202301012020,13°C,Wind blowing from 200° South-southwest to North-northeast,22 km/h,Clear.,1018 mbar,63%
202301012050,13°C,Wind blowing from 200° South-southwest to North-northeast,17 km/h,Clear.,1018 mbar,63%
202301012120,12°C,Wind blowing from 180° South to North,9 km/h,Clear.,1018 mbar,67%
202301012150,12°C,Wind blowing from 180° South to North,6 km/h,Passing clouds.,1017 mbar,67%
202301012220,12°C,Wind blowing from 190° South to North,6 km/h,Clear.,1017 mbar,67%
202301012250,12°C,Wind blowing from 190° South to North,9 km/h,Clear.,1017 mbar,67%
202301012320,13°C,Wind blowing from 190° South to North,13 km/h,Clear.,1017 mbar,63%
202301012350,13°C,Wind blowing from 190° South to North,20 km/h,Clear.,1016 mbar,63%
202301020020,14°C,Wind blowing from 190° South to North,22 km/h,Clear.,1016 mbar,63%
202301020150,14°C,Wind blowing from 190° South to North,19 km/h,Clear.,1016 mbar,59%
202301020220,14°C,Wind blowing from 190° South to North,20 km/h,Clear.,1016 mbar,59%
202301020250,14°C,Wind blowing from 180° South to North,20 km/h,Clear.,1016 mbar,59%
202301020320,14°C,Wind blowing from 180° South to North,20 km/h,Clear.,1015 mbar,59%
202301020350,14°C,Wind blowing from 190° South to North,22 km/h,Clear.,1015 mbar,59%
202301020420,13°C,Wind blowing from 190° South to North,19 km/h,Clear.,1015 mbar,63%
202301020450,14°C,Wind blowing from 200° South-southwest to North-northeast,22 km/h,Clear.,1015 mbar,55%
202301020520,14°C,Wind blowing from 210° South-southwest to North-northeast,24 km/h,Clear.,1015 mbar,55%
202301020550,13°C,Wind blowing from 200° South-southwest to North-northeast,22 km/h,Clear.,1015 mbar,59%
202301020620,13°C,Wind blowing from 200° South-southwest to North-northeast,19 km/h,Clear.,1015 mbar,59%
202301020650,14°C,Wind blowing from 200° South-southwest to North-northeast,22 km/h,Clear.,1015 mbar,55%
202301020720,13°C,Wind blowing from 200° South-southwest to North-northeast,19 km/h,Clear.,1016 mbar,59%
202301020750,12°C,Wind blowing from 200° South-southwest to North-northeast,17 km/h,Clear.,1016 mbar,63%
202301020820,13°C,Wind blowing from 200° South-southwest to North-northeast,15 km/h,Sunny.,1016 mbar,59%
202301020850,13°C,Wind blowing from 190° South to North,17 km/h,Sunny.,1016 mbar,59%
202301020920,12°C,Wind blowing from 200° South-southwest to North-northeast,17 km/h,Sunny.,1016 mbar,63%
202301020950,13°C,Wind blowing from 190° South to North,17 km/h,Sunny.,1016 mbar,59%
202301021020,14°C,Wind blowing from 190° South to North,15 km/h,Sunny.,1016 mbar,55%
202301021050,15°C,Wind blowing from 190° South to North,15 km/h,Sunny.,1016 mbar,51%
202301021120,15°C,Wind blowing from 230° Southwest to Northeast,15 km/h,Passing clouds.,1016 mbar,51%
202301021150,14°C,Wind blowing from 230° Southwest to Northeast,28 km/h,Sunny.,1016 mbar,55%
202301021220,14°C,Wind blowing from 220° Southwest to Northeast,26 km/h,Sunny.,1016 mbar,55%
202301021250,14°C,Wind blowing from 230° Southwest to Northeast,26 km/h,Passing clouds.,1016 mbar,55%
202301021320,14°C,Wind blowing from 230° Southwest to Northeast,28 km/h,Sunny.,1016 mbar,55%
