time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
201401010020,-1°C,Wind blowing from 340° North-northwest to South-southeast,9 km/h,Clear.,1013 mbar,86%
201401010050,-1°C,Wind blowing from 0° North to South,6 km/h,Clear.,1012 mbar,86%
201401010120,-1°C,Wind blowing from 20° North-northeast to South-southwest,6 km/h,Clear.,1012 mbar,86%
201401010150,-1°C,Wind blowing from 70° East-northeast to West-southwest,6 km/h,Clear.,1012 mbar,86%
201401010220,-1°C,Wind blowing from 320° Northwest to Southeast,11 km/h,Clear.,1012 mbar,93%
201401010250,0°C,Wind blowing from 10° North to South,2 km/h,Clear.,1012 mbar,80%
201401010320,0°C,Wind blowing from 170° South to North,6 km/h,Clear.,1012 mbar,80%
201401010350,1°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Clear.,1012 mbar,70%
201401010420,1°C,Wind blowing from 200° South-southwest to North-northeast,13 km/h,Clear.,1012 mbar,70%
201401010450,2°C,Wind blowing from 200° South-southwest to North-northeast,11 km/h,Clear.,1012 mbar,60%
201401010520,3°C,Wind blowing from 210° South-southwest to North-northeast,13 km/h,Clear.,1012 mbar,65%
201401010620,3°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Clear.,1012 mbar,70%
201401010650,3°C,Wind blowing from 230° Southwest to Northeast,15 km/h,Clear.,1012 mbar,70%
201401010720,3°C,Wind blowing from 230° Southwest to Northeast,17 km/h,Partly cloudy.,1012 mbar,70%
201401010750,3°C,Wind blowing from 210° South-southwest to North-northeast,17 km/h,Partly cloudy.,1012 mbar,70%
201401010820,3°C,Wind blowing from 200° South-southwest to North-northeast,19 km/h,Partly cloudy.,1012 mbar,75%
201401010850,3°C,Wind blowing from 230° Southwest to Northeast,26 km/h,Broken clouds.,1013 mbar,75%
201401010920,3°C,Wind blowing from 240° West-southwest to East-northeast,24 km/h,Broken clouds.,1013 mbar,75%
201401010950,2°C,Wind blowing from 240° West-southwest to East-northeast,17 km/h,Broken clouds.,1014 mbar,87%
201401011020,2°C,Wind blowing from 230° Southwest to Northeast,19 km/h,Broken clouds.,1014 mbar,87%
201401011050,3°C,Wind blowing from 230° Southwest to Northeast,15 km/h,Broken clouds.,1014 mbar,81%
201401011120,3°C,Wind blowing from 190° South to North,9 km/h,Broken clouds.,1014 mbar,81%
201401011150,3°C,Wind blowing from 180° South to North,11 km/h,Partly sunny.,1013 mbar,87%
201401011220,4°C,Wind blowing from 200° South-southwest to North-northeast,15 km/h,Partly sunny.,1013 mbar,81%
201401011250,4°C,Wind blowing from 190° South to North,22 km/h,Partly sunny.,1013 mbar,81%
201401011320,4°C,Wind blowing from 190° South to North,20 km/h,Partly sunny.,1012 mbar,81%
201401011350,4°C,Wind blowing from 190° South to North,22 km/h,Partly sunny.,1013 mbar,81%
201401011420,4°C,Wind blowing from 190° South to North,15 km/h,Broken clouds.,1012 mbar,81%
201401011450,4°C,Wind blowing from 200° South-southwest to North-northeast,17 km/h,Scattered clouds.,1012 mbar,81%
201401011520,4°C,Wind blowing from 170° South to North,15 km/h,Scattered clouds.,1012 mbar,75%
201401011550,3°C,Wind blowing from 180° South to North,13 km/h,Scattered clouds.,1012 mbar,81%
201401011620,2°C,Wind blowing from 180° South to North,15 km/h,Passing clouds.,1012 mbar,87%
201401011650,2°C,Wind blowing from 170° South to North,15 km/h,Passing clouds.,1012 mbar,87%
201401011720,2°C,Wind blowing from 170° South to North,17 km/h,Passing clouds.,1012 mbar,87%
201401011750,2°C,Wind blowing from 170° South to North,17 km/h,Passing clouds.,1011 mbar,87%
201401011820,2°C,Wind blowing from 170° South to North,20 km/h,Clear.,1011 mbar,87%
201401011920,2°C,Wind blowing from 170° South to North,17 km/h,Clear.,1010 mbar,87%
201401011950,2°C,Wind blowing from 180° South to North,15 km/h,Clear.,1010 mbar,93%
201401012020,2°C,Wind blowing from 190° South to North,13 km/h,Clear.,1009 mbar,87%
201401012050,2°C,Wind blowing from 190° South to North,17 km/h,Clear.,1009 mbar,93%
201401012120,3°C,Wind blowing from 180° South to North,15 km/h,Clear.,1009 mbar,87%
201401012150,3°C,Wind blowing from 180° South to North,15 km/h,Clear.,1008 mbar,87%
201401012220,3°C,Wind blowing from 190° South to North,20 km/h,Clear.,1008 mbar,87%
201401012250,4°C,Wind blowing from 190° South to North,20 km/h,Clear.,1007 mbar,81%
201401012320,4°C,Wind blowing from 190° South to North,26 km/h,Clear.,1007 mbar,81%
201401012350,4°C,Wind blowing from 190° South to North,22 km/h,Clear.,1007 mbar,81%
201401020020,4°C,Wind blowing from 180° South to North,19 km/h,Clear.,1006 mbar,81%
201401020050,5°C,Wind blowing from 180° South to North,22 km/h,Clear.,1006 mbar,76%
201401020120,5°C,Wind blowing from 180° South to North,24 km/h,Clear.,1006 mbar,76%
201401020150,5°C,Wind blowing from 180° South to North,20 km/h,Clear.,1006 mbar,76%
201401020220,5°C,Wind blowing from 180° South to North,22 km/h,Clear.,1005 mbar,76%
201401020250,4°C,Wind blowing from 190° South to North,22 km/h,Clear.,1005 mbar,81%
201401020320,4°C,Wind blowing from 180° South to North,22 km/h,Clear.,1005 mbar,81%
201401020350,4°C,Wind blowing from 180° South to North,19 km/h,Clear.,1005 mbar,81%
201401020420,5°C,Wind blowing from 180° South to North,15 km/h,Clear.,1005 mbar,70%
201401020450,5°C,Wind blowing from 150° South-southeast to North-northwest,13 km/h,Clear.,1004 mbar,70%
201401020520,5°C,Wind blowing from 140° Southeast to Northwest,11 km/h,Clear.,1004 mbar,70%
201401020550,5°C,Wind blowing from 160° South-southeast to North-northwest,11 km/h,Clear.,1004 mbar,70%
201401020620,5°C,Wind blowing from 180° South to North,17 km/h,Clear.,1003 mbar,70%
201401020650,6°C,Wind blowing from 170° South to North,19 km/h,Clear.,1003 mbar,61%
201401020720,5°C,Wind blowing from 170° South to North,15 km/h,Clear.,1003 mbar,66%
201401020750,5°C,Wind blowing from 160° South-southeast to North-northwest,13 km/h,Partly cloudy.,1004 mbar,66%
201401020820,5°C,Wind blowing from 180° South to North,20 km/h,Partly cloudy.,1004 mbar,66%
201401020850,5°C,Wind blowing from 190° South to North,19 km/h,Broken clouds.,1004 mbar,70%
201401020920,5°C,Wind blowing from 180° South to North,26 km/h,Broken clouds.,1004 mbar,76%
201401020950,5°C,Wind blowing from 180° South to North,24 km/h,Broken clouds.,1004 mbar,76%
201401021020,6°C,Wind blowing from 180° South to North,24 km/h,Broken clouds.,1004 mbar,81%
201401021050,7°C,Wind blowing from 200° South-southwest to North-northeast,28 km/h,Broken clouds.,1004 mbar,76%
201401021120,7°C,Wind blowing from 200° South-southwest to North-northeast,22 km/h,Broken clouds.,1004 mbar,76%
201401021150,6°C,Wind blowing from 180° South to North,28 km/h,Broken clouds.,1004 mbar,81%
201401021220,6°C,Wind blowing from 190° South to North,30 km/h,Broken clouds.,1003 mbar,81%
201401021320,7°C,Wind blowing from 190° South to North,22 km/h,Broken clouds.,1003 mbar,81%
201401021350,7°C,Wind blowing from 210° South-southwest to North-northeast,22 km/h,Broken clouds.,1003 mbar,81%
201401021420,7°C,Wind blowing from 200° South-southwest to North-northeast,26 km/h,Broken clouds.,1003 mbar,81%
201401021450,7°C,Wind blowing from 200° South-southwest to North-northeast,26 km/h,Broken clouds.,1003 mbar,81%
201401021520,7°C,Wind blowing from 200° South-southwest to North-northeast,28 km/h,Partly sunny.,1003 mbar,81%
201401021550,7°C,Wind blowing from 200° South-southwest to North-northeast,32 km/h,Partly sunny.,1003 mbar,81%
