date,start_time,end_time,temp_high,temp_low,weather,wind_speed,wind_dir,humidity,pressure
20230101,00:00,06:00,15,13,Clear.,22,210,60,1015
20230101,06:00,12:00,14,12,Sunny.,26,210,65,1017
20230101,12:00,18:00,14,12,Passing clouds.,20,200,69,1018
20230101,18:00,00:00,13,12,Clear.,15,200,66,1018
20230102,00:00,06:00,14,13,Clear.,21,190,59,1016
20230102,06:00,12:00,15,12,Sunny.,18,200,57,1016
20230102,12:00,18:00,14,11,Passing clouds.,23,230,69,1017
20230102,18:00,00:00,9,7,Sprinkles. Passing clouds.,22,260,91,1021
20230103,00:00,06:00,7,4,Passing clouds.,13,230,87,1026
20230103,06:00,12:00,8,3,Sunny.,14,210,85,1028
20230103,12:00,18:00,8,6,Scattered clouds.,17,240,75,1028
20230103,18:00,00:00,6,4,Passing clouds.,15,200,81,1028
20230104,00:00,06:00,6,4,Clear.,21,200,78,1024
20230104,06:00,12:00,7,6,Light rain. Passing clouds.,35,210,81,1019
20230104,12:00,18:00,9,7,Overcast.,37,210,85,1015
20230104,18:00,00:00,11,9,Passing clouds.,48,240,81,1012
20230105,00:00,06:00,10,8,Passing clouds.,34,250,75,1013
20230105,06:00,12:00,10,8,More clouds than sun.,26,250,82,1016
20230105,12:00,18:00,9,8,Sprinkles. Partly sunny.,29,260,85,1019
20230105,18:00,00:00,8,6,Passing clouds.,18,220,86,1021
20230106,00:00,06:00,8,7,Passing clouds.,14,200,92,1019
20230106,06:00,12:00,9,8,Partly sunny.,19,230,87,1018
20230106,12:00,18:00,10,8,Partly sunny.,24,230,81,1018
20230106,18:00,00:00,8,7,Passing clouds.,20,220,88,1019
20230107,00:00,06:00,8,7,Passing clouds.,19,200,86,1019
20230107,06:00,12:00,9,7,Overcast.,12,170,84,1017
20230107,12:00,18:00,9,7,Overcast.,16,180,76,1014
20230107,18:00,00:00,8,5,Passing clouds.,13,170,78,1011
20230108,00:00,06:00,9,7,Passing clouds.,23,200,75,1008
20230108,06:00,12:00,8,7,Light rain. Passing clouds.,18,190,82,1006
20230108,12:00,18:00,8,7,Scattered clouds.,18,200,82,1004
20230108,18:00,00:00,8,5,Passing clouds.,12,180,83,1001
20230109,00:00,06:00,7,6,Passing clouds.,13,180,86,997
20230109,06:00,12:00,7,6,Mostly cloudy.,21,240,80,998
20230109,12:00,18:00,7,5,Mostly cloudy.,20,220,81,1001
20230109,18:00,00:00,5,3,Passing clouds.,19,250,88,1005
20230110,00:00,06:00,4,2,Passing clouds.,16,260,92,1012
20230110,06:00,12:00,6,2,Passing clouds.,19,260,88,1017
20230110,12:00,18:00,6,4,Partly sunny.,21,220,78,1019
20230110,18:00,00:00,5,3,Clear.,23,210,76,1017
20230111,00:00,06:00,5,4,Passing clouds.,26,200,82,1013
20230111,06:00,12:00,8,5,Passing clouds.,23,200,85,1011
20230111,12:00,18:00,8,7,Light rain. Partly sunny.,22,220,89,1011
20230111,18:00,00:00,7,5,Clear.,23,240,80,1014
20230112,00:00,06:00,7,6,Passing clouds.,29,210,78,1013
20230112,06:00,12:00,8,7,Light rain. Passing clouds.,36,210,80,1010
20230112,12:00,18:00,9,8,More clouds than sun.,39,220,81,1009
20230112,18:00,00:00,9,8,Light rain. Passing clouds.,33,220,84,1008
20230113,00:00,06:00,9,8,Mostly cloudy.,30,220,82,1006
20230113,06:00,12:00,9,6,Passing clouds.,28,230,83,1007
20230113,12:00,18:00,8,6,Sunny.,30,220,74,1008
20230113,18:00,00:00,6,5,Passing clouds.,24,230,81,1012
20230114,00:00,06:00,6,5,Passing clouds.,21,220,80,1016
20230114,06:00,12:00,6,4,Passing clouds.,24,200,79,1015
20230114,12:00,18:00,7,6,Passing clouds.,36,200,81,1007
20230114,18:00,00:00,9,7,Light rain. Passing clouds.,38,200,84,1001
20230115,00:00,06:00,9,6,Light rain. Passing clouds.,25,210,88,998
20230115,06:00,12:00,6,3,Sunny.,25,230,84,1001
20230115,12:00,18:00,5,4,Sunny.,35,220,75,1002
20230115,18:00,00:00,4,3,Passing clouds.,26,220,77,1003
20230116,00:00,06:00,4,2,Passing clouds.,24,200,85,999
20230116,06:00,12:00,4,1,Scattered clouds.,22,180,81,994
20230116,12:00,18:00,5,3,Sunny.,34,170,74,986
20230116,18:00,00:00,4,3,Passing clouds.,29,190,76,980
20230117,00:00,06:00,3,2,Passing clouds.,32,230,85,982
20230117,06:00,12:00,2,1,Passing clouds.,26,230,75,986
20230117,12:00,18:00,3,0,Partly sunny.,10,210,70,987
20230117,18:00,00:00,0,-2,Passing clouds.,6,210,79,988
20230118,00:00,06:00,-2,-2,Overcast.,8,0,92,989
20230118,06:00,12:00,0,-2,Mostly cloudy.,12,350,83,992
20230118,12:00,18:00,1,-1,Partly sunny.,11,340,77,996
20230118,18:00,00:00,-2,-5,Clear.,13,210,83,1001
20230119,00:00,06:00,-3,-5,Clear.,17,200,81,1003
20230119,06:00,12:00,1,-3,Sunny.,23,210,77,1004
20230119,12:00,18:00,2,-1,Partly sunny.,25,230,82,1005
20230119,18:00,00:00,-1,-2,Passing clouds.,13,240,92,1007
20230120,00:00,06:00,-1,-3,Passing clouds.,12,240,94,1010
20230120,06:00,12:00,0,-4,Passing clouds.,9,270,96,1014
20230120,12:00,18:00,1,-2,Passing clouds.,5,10,82,1017
20230120,18:00,00:00,-2,-3,Clear.,5,350,93,1020
