time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
202201010020,11°C,Wind blowing from 250° West-southwest to East-northeast,26 km/h,Passing clouds.,1022 mbar,88%
202201010050,11°C,Wind blowing from 250° West-southwest to East-northeast,24 km/h,Passing clouds.,1022 mbar,88%
202201010120,11°C,Wind blowing from 250° West-southwest to East-northeast,24 km/h,Passing clouds.,1022 mbar,88%
202201010150,11°C,Wind blowing from 260° West to East,22 km/h,Light rain. Passing clouds.,1023 mbar,88%
202201010220,11°C,Wind blowing from 250° West-southwest to East-northeast,24 km/h,Passing clouds.,1023 mbar,88%
202201010250,11°C,Wind blowing from 250° West-southwest to East-northeast,20 km/h,Passing clouds.,1023 mbar,88%
202201010320,11°C,Wind blowing from 230° Southwest to Northeast,19 km/h,Passing clouds.,1023 mbar,88%
202201010350,11°C,Wind blowing from 250° West-southwest to East-northeast,19 km/h,Passing clouds.,1023 mbar,88%
202201010420,11°C,Wind blowing from 240° West-southwest to East-northeast,17 km/h,Passing clouds.,1023 mbar,88%
202201010450,11°C,Wind blowing from 230° Southwest to Northeast,19 km/h,Passing clouds.,1023 mbar,88%
202201010550,11°C,Wind blowing from 240° West-southwest to East-northeast,17 km/h,Passing clouds.,1023 mbar,82%
202201010620,11°C,Wind blowing from 230° Southwest to Northeast,13 km/h,Passing clouds.,1024 mbar,82%
202201010650,11°C,Wind blowing from 240° West-southwest to East-northeast,17 km/h,Passing clouds.,1024 mbar,82%
202201010720,11°C,Wind blowing from 220° Southwest to Northeast,13 km/h,Passing clouds.,1024 mbar,82%
202201010750,11°C,Wind blowing from 240° West-southwest to East-northeast,17 km/h,Passing clouds.,1024 mbar,82%
202201010820,10°C,Wind blowing from 230° Southwest to Northeast,11 km/h,Partly sunny.,1024 mbar,88%
202201010920,10°C,Wind blowing from 230° Southwest to Northeast,11 km/h,Partly sunny.,1025 mbar,88%
202201011020,11°C,Wind blowing from 240° West-southwest to East-northeast,13 km/h,Partly sunny.,1025 mbar,82%
202201011050,11°C,Wind blowing from 250° West-southwest to East-northeast,17 km/h,Partly sunny.,1026 mbar,82%
202201011120,12°C,Wind blowing from 250° West-southwest to East-northeast,15 km/h,Partly sunny.,1026 mbar,82%
202201011150,12°C,Wind blowing from 260° West to East,15 km/h,Partly sunny.,1025 mbar,77%
202201011220,12°C,Wind blowing from 270° West to East,13 km/h,Partly sunny.,1026 mbar,82%
202201011250,12°C,Wind blowing from 270° West to East,11 km/h,Partly sunny.,1026 mbar,82%
202201011320,12°C,Wind blowing from 250° West-southwest to East-northeast,15 km/h,Partly sunny.,1025 mbar,77%
202201011350,12°C,Wind blowing from 250° West-southwest to East-northeast,19 km/h,Overcast.,1025 mbar,72%
202201011420,11°C,Wind blowing from 240° West-southwest to East-northeast,17 km/h,Overcast.,1025 mbar,77%
202201011450,11°C,Wind blowing from 220° Southwest to Northeast,11 km/h,Partly sunny.,1025 mbar,77%
202201011520,11°C,Wind blowing from 220° Southwest to Northeast,9 km/h,Partly sunny.,1025 mbar,82%
202201011550,11°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Partly sunny.,1024 mbar,77%
202201011620,10°C,Wind blowing from 220° Southwest to Northeast,11 km/h,Passing clouds.,1024 mbar,82%
202201011650,9°C,Wind blowing from 220° Southwest to Northeast,11 km/h,Passing clouds.,1024 mbar,82%
202201011720,9°C,Wind blowing from 230° Southwest to Northeast,9 km/h,Clear.,1024 mbar,82%
202201011750,8°C,Wind blowing from 250° West-southwest to East-northeast,11 km/h,Clear.,1024 mbar,87%
202201011820,9°C,Wind blowing from 230° Southwest to Northeast,7 km/h,Clear.,1024 mbar,82%
202201011850,7°C,Wind blowing from 240° West-southwest to East-northeast,11 km/h,Passing clouds.,1024 mbar,87%
202201011920,8°C,Wind blowing from 220° Southwest to Northeast,9 km/h,Passing clouds.,1024 mbar,87%
202201011950,7°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Passing clouds.,1024 mbar,87%
202201012020,7°C,Wind blowing from 200° South-southwest to North-northeast,11 km/h,Passing clouds.,1024 mbar,87%
202201012050,6°C,Wind blowing from 190° South to North,9 km/h,Passing clouds.,1023 mbar,93%
202201012120,6°C,Wind blowing from 190° South to North,9 km/h,Passing clouds.,1023 mbar,93%
202201012150,7°C,Wind blowing from 180° South to North,9 km/h,Passing clouds.,1023 mbar,87%
202201012220,6°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Clear.,1023 mbar,93%
202201012250,6°C,Wind blowing from 200° South-southwest to North-northeast,11 km/h,Clear.,1022 mbar,93%
202201012320,7°C,Wind blowing from 200° South-southwest to North-northeast,13 km/h,Clear.,1022 mbar,87%
202201012350,5°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Clear.,1022 mbar,100%
202201020020,4°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Clear.,1021 mbar,100%
202201020050,7°C,Wind blowing from 200° South-southwest to North-northeast,11 km/h,Clear.,1021 mbar,93%
202201020120,9°C,Wind blowing from 190° South to North,15 km/h,Clear.,1020 mbar,87%
202201020150,7°C,Wind blowing from 210° South-southwest to North-northeast,19 km/h,Clear.,1020 mbar,93%
202201020220,6°C,Wind blowing from 200° South-southwest to North-northeast,20 km/h,Clear.,1019 mbar,100%
202201020250,7°C,Wind blowing from 210° South-southwest to North-northeast,20 km/h,Clear.,1019 mbar,93%
202201020320,7°C,Wind blowing from 210° South-southwest to North-northeast,17 km/h,Clear.,1019 mbar,87%
202201020350,7°C,Wind blowing from 210° South-southwest to North-northeast,17 km/h,Clear.,1019 mbar,93%
202201020420,6°C,Wind blowing from 220° Southwest to Northeast,13 km/h,Clear.,1019 mbar,93%
202201020450,7°C,Wind blowing from 200° South-southwest to North-northeast,15 km/h,Clear.,1018 mbar,93%
202201020520,7°C,Wind blowing from 200° South-southwest to North-northeast,17 km/h,Clear.,1018 mbar,93%
202201020550,8°C,Wind blowing from 240° West-southwest to East-northeast,17 km/h,Clear.,1018 mbar,87%
202201020620,9°C,Wind blowing from 240° West-southwest to East-northeast,20 km/h,Clear.,1018 mbar,82%
202201020650,9°C,Wind blowing from 240° West-southwest to East-northeast,20 km/h,Clear.,1017 mbar,82%
202201020720,9°C,Wind blowing from 240° West-southwest to East-northeast,26 km/h,Passing clouds.,1017 mbar,82%
202201020750,9°C,Wind blowing from 230° Southwest to Northeast,28 km/h,Passing clouds.,1017 mbar,82%
202201020820,8°C,Wind blowing from 230° Southwest to Northeast,22 km/h,Passing clouds.,1017 mbar,87%
202201020850,8°C,Wind blowing from 240° West-southwest to East-northeast,22 km/h,Scattered clouds.,1017 mbar,87%
202201020920,9°C,Wind blowing from 230° Southwest to Northeast,19 km/h,Passing clouds.,1017 mbar,82%
202201020950,9°C,Wind blowing from 200° South-southwest to North-northeast,20 km/h,Sunny.,1016 mbar,82%
202201021020,10°C,Wind blowing from 190° South to North,17 km/h,Sunny.,1016 mbar,82%
202201021050,10°C,Wind blowing from 200° South-southwest to North-northeast,19 km/h,Sunny.,1016 mbar,82%
202201021120,10°C,Wind blowing from 190° South to North,17 km/h,Sunny.,1015 mbar,82%
202201021150,10°C,Wind blowing from 210° South-southwest to North-northeast,15 km/h,Sunny.,1014 mbar,82%
202201021220,11°C,Wind blowing from 220° Southwest to Northeast,19 km/h,Sunny.,1014 mbar,77%
202201021250,11°C,Wind blowing from 190° South to North,22 km/h,Sunny.,1013 mbar,77%
202201021320,11°C,Wind blowing from 180° South to North,22 km/h,Sunny.,1013 mbar,72%
202201021350,11°C,Wind blowing from 210° South-southwest to North-northeast,19 km/h,Sunny.,1012 mbar,72%
202201021420,11°C,Wind blowing from 210° South-southwest to North-northeast,20 km/h,Sunny.,1011 mbar,72%
202201021450,11°C,Wind blowing from 230° Southwest to Northeast,15 km/h,Sunny.,1011 mbar,72%
202201021520,11°C,Wind blowing from 230° Southwest to Northeast,33 km/h,Sunny.,1011 mbar,67%
202201021550,10°C,Wind blowing from 230° Southwest to Northeast,24 km/h,Sunny.,1011 mbar,71%
202201021620,9°C,Wind blowing from 220° Southwest to Northeast,26 km/h,Passing clouds.,1012 mbar,76%
202201021650,10°C,Wind blowing from 240° West-southwest to East-northeast,28 km/h,Passing clouds.,1012 mbar,71%
202201021720,10°C,Wind blowing from 240° West-southwest to East-northeast,30 km/h,Passing clouds.,1013 mbar,71%
202201021750,9°C,Wind blowing from 240° West-southwest to East-northeast,24 km/h,Passing clouds.,1013 mbar,82%
202201021820,9°C,Wind blowing from 240° West-southwest to East-northeast,28 km/h,Passing clouds.,1013 mbar,82%
202201021850,9°C,Wind blowing from 250° West-southwest to East-northeast,28 km/h,Passing clouds.,1013 mbar,82%
202201021920,9°C,Wind blowing from 240° West-southwest to East-northeast,22 km/h,Passing clouds.,1013 mbar,82%
202201021950,10°C,Wind blowing from 230° Southwest to Northeast,19 km/h,Passing clouds.,1013 mbar,76%
202201022020,10°C,Wind blowing from 230° Southwest to Northeast,13 km/h,Passing clouds.,1013 mbar,76%
202201022120,10°C,Wind blowing from 230° Southwest to Northeast,33 km/h,Passing clouds.,1012 mbar,76%
202201022150,10°C,Wind blowing from 230° Southwest to Northeast,33 km/h,Passing clouds.,1011 mbar,76%
202201022220,10°C,Wind blowing from 220° Southwest to Northeast,30 km/h,Passing clouds.,1011 mbar,76%
202201022250,10°C,Wind blowing from 200° South-southwest to North-northeast,17 km/h,Passing clouds.,1011 mbar,76%
202201022320,10°C,Wind blowing from 210° South-southwest to North-northeast,22 km/h,Passing clouds.,1010 mbar,76%
202201022350,10°C,Wind blowing from 210° South-southwest to North-northeast,30 km/h,Passing clouds.,1010 mbar,76%
202201030020,11°C,Wind blowing from 220° Southwest to Northeast,35 km/h,Light rain. Passing clouds.,1009 mbar,72%
202201030050,9°C,Wind blowing from 240° West-southwest to East-northeast,35 km/h,Light rain. Partly cloudy.,1010 mbar,87%
202201030120,7°C,Wind blowing from 260° West to East,43 km/h,Thunderstorms. Passing clouds.,1010 mbar,93%
202201030150,7°C,Wind blowing from 230° Southwest to Northeast,35 km/h,Passing clouds.,1010 mbar,87%
