date,start_time,end_time,temp_high,temp_low,weather,wind_speed,wind_dir,humidity,pressure
20150101,00:00,06:00,2,1,Passing clouds.,11,260,100,1034
20150101,06:00,12:00,5,0,Passing clouds.,14,210,98,1035
20150101,12:00,18:00,4,2,Partly sunny.,17,230,90,1033
20150101,18:00,00:00,3,1,Clear.,20,230,91,1030
20150102,00:00,06:00,3,2,Clear.,31,230,80,1024
20150102,06:00,12:00,4,3,Partly sunny.,39,220,86,1021
20150102,12:00,18:00,5,2,Broken clouds.,23,230,88,1024
20150102,18:00,00:00,3,2,Passing clouds.,23,250,85,1027
20150103,00:00,06:00,3,2,Passing clouds.,24,240,81,1028
20150103,06:00,12:00,3,1,Partly sunny.,28,240,84,1025
20150103,12:00,18:00,3,1,Drizzle. More clouds than sun.,19,220,92,1018
20150103,18:00,00:00,1,0,Passing clouds.,16,270,98,1016
20150104,00:00,06:00,1,1,Passing clouds.,24,270,95,1020
20150104,06:00,12:00,3,2,Broken clouds.,22,270,88,1025
20150104,12:00,18:00,4,2,Partly sunny.,26,300,86,1028
20150104,18:00,00:00,2,1,Passing clouds.,21,260,92,1031
20150105,00:00,06:00,2,1,Passing clouds.,16,260,96,1032
20150105,06:00,12:00,2,1,Partly sunny.,28,280,86,1030
20150105,12:00,18:00,2,0,Scattered clouds.,12,350,86,1029
20150105,18:00,00:00,0,-1,Passing clouds.,8,210,94,1028
20150106,00:00,06:00,-1,-3,Clear.,11,260,96,1026
20150106,06:00,12:00,1,-3,Sunny.,12,200,95,1025
20150106,12:00,18:00,2,0,Sunny.,8,190,80,1023
20150106,18:00,00:00,1,-1,Clear.,13,180,78,1022
20150107,00:00,06:00,2,1,Passing clouds.,13,240,86,1023
20150107,06:00,12:00,3,1,Broken clouds.,22,250,98,1025
20150107,12:00,18:00,3,0,Scattered clouds.,18,260,89,1027
20150107,18:00,00:00,1,0,Passing clouds.,18,220,88,1028
20150108,00:00,06:00,3,0,Passing clouds.,20,230,89,1025
20150108,06:00,12:00,5,2,Light rain. Partly sunny.,25,230,90,1023
20150108,12:00,18:00,7,5,Partly sunny.,28,220,90,1019
20150108,18:00,00:00,7,3,Light rain. Mostly cloudy.,30,230,91,1019
20150109,00:00,06:00,5,4,Passing clouds.,27,240,86,1024
20150109,06:00,12:00,8,5,Partly sunny.,50,230,76,1017
20150109,12:00,18:00,9,7,More clouds than sun.,46,250,80,1013
20150109,18:00,00:00,8,6,Light rain. Passing clouds.,35,260,81,1012
20150110,00:00,06:00,12,8,Light rain. Passing clouds.,37,250,90,1008
20150110,06:00,12:00,14,12,Broken clouds.,47,240,79,1007
20150110,12:00,18:00,14,11,Broken clouds.,50,250,73,1004
20150110,18:00,00:00,6,3,Clear.,38,280,78,1009
20150111,00:00,06:00,3,1,Clear.,19,260,77,1011
20150111,06:00,12:00,3,1,Snow flurries. Scattered clouds.,34,250,77,1011
20150111,12:00,18:00,4,1,Snow flurries. Passing clouds.,42,260,83,1014
20150111,18:00,00:00,3,2,Light rain. Partly cloudy.,42,260,86,1017
20150112,00:00,06:00,4,3,Partly cloudy.,29,240,86,1018
20150112,06:00,12:00,5,4,Partly sunny.,29,230,84,1017
20150112,12:00,18:00,6,5,Partly sunny.,34,230,79,1015
20150112,18:00,00:00,6,5,Passing clouds.,30,220,80,1014
20150113,00:00,06:00,7,6,Clear.,25,210,78,1013
20150113,06:00,12:00,10,6,Sunny.,32,210,66,1010
20150113,12:00,18:00,11,10,Sunny.,27,210,54,1007
20150113,18:00,00:00,11,7,Light rain. Passing clouds.,33,230,71,1007
20150114,00:00,06:00,7,6,Light rain. Partly cloudy.,20,220,82,1007
20150114,06:00,12:00,7,3,Broken clouds.,34,230,80,1009
20150114,12:00,18:00,6,3,Broken clouds.,27,220,77,1009
20150114,18:00,00:00,3,1,Clear.,27,260,86,1013
20150115,00:00,06:00,3,1,Clear.,22,190,86,1013
20150115,06:00,12:00,6,3,Broken clouds.,31,190,81,1007
20150115,12:00,18:00,8,6,Sunny.,33,200,73,1003
20150115,18:00,00:00,9,7,Clear.,27,210,66,1002
20150116,00:00,06:00,9,6,Passing clouds.,25,220,76,1004
