date,start_time,end_time,temp_high,temp_low,weather,wind_speed,wind_dir,humidity,pressure
20160101,00:00,06:00,1,-1,Ice fog.,8,210,97,1025
20160101,06:00,12:00,3,-1,Sunny.,11,200,94,1026
20160101,12:00,18:00,4,3,Scattered clouds.,10,200,91,1025
20160101,18:00,00:00,3,0,Passing clouds.,11,170,95,1023
20160102,00:00,06:00,0,-2,Fog.,4,0,94,1019
20160102,06:00,12:00,-1,-2,Ice fog.,9,50,97,1017
20160102,12:00,18:00,0,-1,Broken clouds.,15,80,92,1015
20160102,18:00,00:00,0,-3,Light snow. Ice fog.,12,80,92,1015
20160103,00:00,06:00,-3,-4,Light snow. Ice fog.,12,60,94,1014
20160103,06:00,12:00,-1,-3,Light snow. Partly sunny.,7,60,92,1012
20160103,12:00,18:00,0,-1,Light snow. Partly sunny.,11,110,89,1007
20160103,18:00,00:00,-1,-2,Passing clouds.,8,90,85,1002
20160104,00:00,06:00,-2,-3,Passing clouds.,11,80,86,995
20160104,06:00,12:00,-2,-4,Light snow. Ice fog.,7,350,95,992
20160104,12:00,18:00,-2,-2,Ice fog.,6,350,96,992
20160104,18:00,00:00,-2,-2,Ice fog.,6,0,99,993
20160105,00:00,06:00,-2,-3,Light freezing rain. Ice fog.,7,0,98,993
20160105,06:00,12:00,-3,-3,Ice fog.,7,10,95,995
20160105,12:00,18:00,-2,-3,Ice fog.,6,0,96,996
20160105,18:00,00:00,-3,-4,Light freezing rain. Ice fog.,7,0,98,998
20160106,00:00,06:00,-4,-5,Ice fog.,7,30,98,998
20160106,06:00,12:00,-5,-6,Ice fog.,5,0,96,1000
20160106,12:00,18:00,-5,-5,Light freezing rain. Ice fog.,5,10,95,1001
20160106,18:00,00:00,-5,-6,Ice fog.,4,0,95,1002
20160107,00:00,06:00,-5,-5,Ice fog.,3,10,93,1002
20160107,06:00,12:00,-4,-5,Ice fog.,2,20,96,1000
20160107,12:00,18:00,0,-3,Ice fog.,3,20,95,996
20160107,18:00,00:00,3,0,Light rain. Partly cloudy.,21,190,87,994
20160108,00:00,06:00,4,3,Passing clouds.,32,250,76,998
20160108,06:00,12:00,4,3,Passing clouds.,30,230,70,1002
20160108,12:00,18:00,5,1,Sunny.,26,220,68,1003
20160108,18:00,00:00,2,-1,Clear.,14,210,85,1005
20160109,00:00,06:00,-1,-2,Clear.,12,200,87,1005
20160109,06:00,12:00,1,-1,Sunny.,7,180,89,1004
20160109,12:00,18:00,2,0,Sunny.,5,0,89,1003
20160109,18:00,00:00,1,-1,Passing clouds.,9,190,94,1002
20160110,00:00,06:00,3,1,Passing clouds.,8,180,92,998
20160110,06:00,12:00,6,2,Light rain. Partly sunny.,19,190,87,995
