time,temp,wind_dir,wind_speed,weather_text,barometer,humidity
202101010020,2°C,Wind blowing from 170° South to North,4 km/h,Light snow. Partly cloudy.,1003 mbar,81%
202101010050,2°C,Wind blowing from 0° North to South,2 km/h,Light rain. Partly cloudy.,1003 mbar,81%
202101010120,1°C,Wind blowing from 170° South to North,7 km/h,Light rain. Passing clouds.,1003 mbar,93%
202101010150,1°C,Wind blowing from 170° South to North,9 km/h,Light snow. Passing clouds.,1003 mbar,93%
202101010220,0°C,Wind blowing from 180° South to North,9 km/h,Light rain. Passing clouds.,1003 mbar,100%
202101010250,0°C,Wind blowing from 190° South to North,7 km/h,Passing clouds.,1003 mbar,100%
202101010320,1°C,Wind blowing from 190° South to North,9 km/h,Passing clouds.,1003 mbar,93%
202101010350,1°C,Wind blowing from 190° South to North,9 km/h,Partly cloudy.,1003 mbar,93%
202101010420,1°C,Wind blowing from 200° South-southwest to North-northeast,11 km/h,Passing clouds.,1003 mbar,93%
202101010450,1°C,Wind blowing from 210° South-southwest to North-northeast,9 km/h,Light snow. Passing clouds.,1003 mbar,93%
202101010520,1°C,Wind blowing from 210° South-southwest to North-northeast,9 km/h,Partly cloudy.,1004 mbar,93%
202101010550,1°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Light snow. Passing clouds.,1004 mbar,93%
202101010620,1°C,Wind blowing from 210° South-southwest to North-northeast,7 km/h,Light snow. Partly cloudy.,1004 mbar,93%
202101010650,1°C,Wind blowing from 200° South-southwest to North-northeast,6 km/h,Partly cloudy.,1004 mbar,93%
202101010720,1°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Passing clouds.,1004 mbar,93%
202101010750,1°C,Wind blowing from 220° Southwest to Northeast,7 km/h,Passing clouds.,1005 mbar,93%
202101010820,1°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Partly sunny.,1005 mbar,93%
202101010850,1°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Light rain. Partly sunny.,1005 mbar,93%
202101010920,1°C,Wind blowing from 200° South-southwest to North-northeast,7 km/h,Partly sunny.,1005 mbar,93%
202101010950,1°C,Wind blowing from 230° Southwest to Northeast,6 km/h,Partly sunny.,1006 mbar,100%
202101011020,1°C,Wind blowing from 210° South-southwest to North-northeast,7 km/h,Partly sunny.,1006 mbar,100%
202101011050,2°C,Wind blowing from 240° West-southwest to East-northeast,7 km/h,Partly sunny.,1006 mbar,93%
202101011120,2°C,Wind blowing from 250° West-southwest to East-northeast,7 km/h,Broken clouds.,1006 mbar,93%
202101011150,2°C,Wind blowing from 260° West to East,7 km/h,Light rain. Broken clouds.,1006 mbar,93%
202101011220,2°C,Wind blowing from 290° West-northwest to East-southeast,9 km/h,Light rain. Partly sunny.,1006 mbar,93%
202101011250,2°C,Wind blowing from 290° West-northwest to East-southeast,9 km/h,Light rain. Partly sunny.,1006 mbar,93%
202101011320,2°C,Wind blowing from 290° West-northwest to East-southeast,7 km/h,Light rain. Broken clouds.,1006 mbar,93%
202101011350,2°C,Wind blowing from 280° West to East,11 km/h,Light rain. Partly sunny.,1007 mbar,93%
202101011420,2°C,Wind blowing from 290° West-northwest to East-southeast,11 km/h,Drizzle. Broken clouds.,1007 mbar,93%
202101011450,2°C,Wind blowing from 290° West-northwest to East-southeast,7 km/h,Broken clouds.,1007 mbar,93%
202101011520,2°C,Wind blowing from 300° West-northwest to East-southeast,9 km/h,Partly sunny.,1007 mbar,93%
202101011550,1°C,Wind blowing from 330° North-northwest to South-southeast,9 km/h,Drizzle. Partly sunny.,1007 mbar,100%
202101011620,1°C,Wind blowing from 300° West-northwest to East-southeast,6 km/h,Partly cloudy.,1008 mbar,100%
202101011650,1°C,Wind blowing from 300° West-northwest to East-southeast,6 km/h,Passing clouds.,1008 mbar,93%
202101011720,1°C,Wind blowing from 290° West-northwest to East-southeast,6 km/h,Passing clouds.,1008 mbar,93%
202101011750,1°C,Wind blowing from 280° West to East,7 km/h,Passing clouds.,1008 mbar,93%
202101011820,1°C,Wind blowing from 260° West to East,6 km/h,Passing clouds.,1009 mbar,93%
202101011850,1°C,Wind blowing from 270° West to East,7 km/h,Passing clouds.,1009 mbar,93%
202101011950,1°C,Wind blowing from 260° West to East,7 km/h,Passing clouds.,1009 mbar,93%
202101012020,1°C,Wind blowing from 250° West-southwest to East-northeast,6 km/h,Passing clouds.,1009 mbar,93%
202101012050,1°C,Wind blowing from 260° West to East,7 km/h,Overcast.,1010 mbar,93%
202101012120,1°C,Wind blowing from 240° West-southwest to East-northeast,6 km/h,Passing clouds.,1010 mbar,93%
202101012150,1°C,Wind blowing from 240° West-southwest to East-northeast,6 km/h,Passing clouds.,1010 mbar,93%
202101012220,1°C,Wind blowing from 250° West-southwest to East-northeast,6 km/h,Passing clouds.,1010 mbar,87%
202101012250,1°C,Wind blowing from 280° West to East,7 km/h,Partly cloudy.,1011 mbar,93%
202101012320,1°C,Wind blowing from 280° West to East,7 km/h,Passing clouds.,1011 mbar,93%
202101012350,0°C,Wind blowing from 290° West-northwest to East-southeast,7 km/h,Passing clouds.,1011 mbar,93%
202101020020,0°C,Wind blowing from 280° West to East,6 km/h,Passing clouds.,1011 mbar,93%
202101020050,0°C,Wind blowing from 240° West-southwest to East-northeast,6 km/h,Passing clouds.,1011 mbar,93%
202101020120,0°C,Wind blowing from 230° Southwest to Northeast,6 km/h,Passing clouds.,1011 mbar,93%
202101020150,0°C,Wind blowing from 200° South-southwest to North-northeast,13 km/h,Passing clouds.,1011 mbar,100%
202101020220,0°C,Wind blowing from 200° South-southwest to North-northeast,13 km/h,Passing clouds.,1011 mbar,100%
202101020250,0°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Passing clouds.,1011 mbar,93%
202101020320,0°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Passing clouds.,1011 mbar,93%
202101020350,0°C,Wind blowing from 200° South-southwest to North-northeast,13 km/h,Passing clouds.,1011 mbar,93%
202101020420,0°C,Wind blowing from 200° South-southwest to North-northeast,13 km/h,Passing clouds.,1011 mbar,93%
202101020450,0°C,Wind blowing from 200° South-southwest to North-northeast,11 km/h,Passing clouds.,1012 mbar,93%
202101020520,-1°C,Wind blowing from 220° Southwest to Northeast,11 km/h,Passing clouds.,1012 mbar,93%
202101020550,0°C,Wind blowing from 190° South to North,11 km/h,Passing clouds.,1012 mbar,87%
202101020620,-1°C,Wind blowing from 210° South-southwest to North-northeast,9 km/h,Passing clouds.,1012 mbar,93%
202101020650,-1°C,Wind blowing from 200° South-southwest to North-northeast,11 km/h,Passing clouds.,1012 mbar,93%
202101020720,-1°C,Wind blowing from 210° South-southwest to North-northeast,11 km/h,Passing clouds.,1012 mbar,93%
202101020750,-1°C,Wind blowing from 230° Southwest to Northeast,9 km/h,Passing clouds.,1012 mbar,93%
202101020820,-1°C,Wind blowing from 210° South-southwest to North-northeast,9 km/h,Partly sunny.,1012 mbar,93%
202101020850,0°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Partly sunny.,1012 mbar,87%
202101020920,0°C,Wind blowing from 200° South-southwest to North-northeast,9 km/h,Partly sunny.,1013 mbar,87%
202101020950,0°C,Wind blowing from 220° Southwest to Northeast,7 km/h,Partly sunny.,1013 mbar,87%
202101021020,0°C,Wind blowing from 210° South-southwest to North-northeast,9 km/h,Partly sunny.,1013 mbar,93%
